atlasId,atlasName,cohortId,name
132,[DT20]liverca_entecavir,132,DT20liverca_entecavir
163,[DT20]liverca_tenofovir,163,DT20liverca_tenofovir
144,[DT20]liverCA_outcome,144,DT20liverCA_outcome
