atlasId,atlasName,cohortId,name
151,COPY OF: Team3 COPD,151,COPY_OF_Team3_COPD
152,COPY OF: Team3 COPD-ICS,152,COPY_OF_Team3_COPDICS
155,team3 outcome_hosp,155,team3_outcome_hosp
