atlasId,atlasName,cohortId,name
130,[Datathon4]TargetCohort_Final_Iban,130,Datathon4TargetCohort_Final_Iban
161,[Datathon4]ComparatorCohort_Final_Alend,161,Datathon4ComparatorCohort_Final_Alend
149," [Datathon4]OutcomeCohort#2_SpineFracture",149,_Datathon4OutcomeCohort2_SpineFracture
